,S_no,Date,Country,State,Confirmed,Recovered,Deaths,As_Of_Date
1,1,2020-03-12,India,Andhra Pradesh,1,0,0,Hist Update: 10th Apr 2020
2,2,2020-03-13,India,Andhra Pradesh,1,0,0,Hist Update: 10th Apr 2020
3,3,2020-03-14,India,Andhra Pradesh,1,0,0,Hist Update: 10th Apr 2020
4,4,2020-03-15,India,Andhra Pradesh,1,0,0,Hist Update: 10th Apr 2020
5,5,2020-03-16,India,Andhra Pradesh,1,0,0,Hist Update: 10th Apr 2020
6,6,2020-03-17,India,Andhra Pradesh,1,0,0,Hist Update: 10th Apr 2020
7,7,2020-03-18,India,Andhra Pradesh,1,0,0,Hist Update: 10th Apr 2020
8,8,2020-03-19,India,Andhra Pradesh,2,0,0,Hist Update: 10th Apr 2020
9,9,2020-03-20,India,Andhra Pradesh,3,0,0,Hist Update: 10th Apr 2020
10,10,2020-03-21,India,Andhra Pradesh,3,0,0,Hist Update: 10th Apr 2020
11,11,2020-03-22,India,Andhra Pradesh,5,0,0,Hist Update: 10th Apr 2020
12,12,2020-03-23,India,Andhra Pradesh,7,0,0,Hist Update: 10th Apr 2020
13,13,2020-03-24,India,Andhra Pradesh,8,0,0,Hist Update: 10th Apr 2020
14,14,2020-03-25,India,Andhra Pradesh,9,1,0,Hist Update: 10th Apr 2020
15,15,2020-03-26,India,Andhra Pradesh,11,1,0,Hist Update: 10th Apr 2020
16,16,2020-03-27,India,Andhra Pradesh,12,1,0,Hist Update: 10th Apr 2020
17,17,2020-03-28,India,Andhra Pradesh,14,1,0,Hist Update: 10th Apr 2020
18,18,2020-03-29,India,Andhra Pradesh,19,1,0,Hist Update: 10th Apr 2020
19,19,2020-03-30,India,Andhra Pradesh,23,1,0,Hist Update: 10th Apr 2020
20,20,2020-03-31,India,Andhra Pradesh,40,1,0,Hist Update: 10th Apr 2020
21,21,2020-04-01,India,Andhra Pradesh,83,1,0,Hist Update: 10th Apr 2020
22,22,2020-04-02,India,Andhra Pradesh,86,1,1,Hist Update: 10th Apr 2020
23,23,2020-04-03,India,Andhra Pradesh,132,1,1,Hist Update: 10th Apr 2020
24,24,2020-04-04,India,Andhra Pradesh,161,1,1,Hist Update: 10th Apr 2020
25,25,2020-04-05,India,Andhra Pradesh,190,1,1,Hist Update: 10th Apr 2020
26,26,2020-04-06,India,Andhra Pradesh,226,1,3,Hist Update: 10th Apr 2020
27,27,2020-04-07,India,Andhra Pradesh,266,1,3,Hist Update: 10th Apr 2020
28,28,2020-04-08,India,Andhra Pradesh,305,5,4,Hist Update: 10th Apr 2020
29,29,2020-04-09,India,Andhra Pradesh,348,6,4,Hist Update: 10th Apr 2020
1,1,2020-03-26,India,Andaman and Nicobar Islands,1,0,0,Hist Update: 10th Apr 2020
2,2,2020-03-27,India,Andaman and Nicobar Islands,1,0,0,Hist Update: 10th Apr 2020
3,3,2020-03-28,India,Andaman and Nicobar Islands,6,0,0,Hist Update: 10th Apr 2020
4,4,2020-03-29,India,Andaman and Nicobar Islands,9,0,0,Hist Update: 10th Apr 2020
5,5,2020-03-30,India,Andaman and Nicobar Islands,9,0,0,Hist Update: 10th Apr 2020
6,6,2020-03-31,India,Andaman and Nicobar Islands,10,0,0,Hist Update: 10th Apr 2020
7,7,2020-04-01,India,Andaman and Nicobar Islands,10,0,0,Hist Update: 10th Apr 2020
8,8,2020-04-02,India,Andaman and Nicobar Islands,10,0,0,Hist Update: 10th Apr 2020
9,9,2020-04-03,India,Andaman and Nicobar Islands,10,0,0,Hist Update: 10th Apr 2020
10,10,2020-04-04,India,Andaman and Nicobar Islands,10,0,0,Hist Update: 10th Apr 2020
11,11,2020-04-05,India,Andaman and Nicobar Islands,10,0,0,Hist Update: 10th Apr 2020
12,12,2020-04-06,India,Andaman and Nicobar Islands,10,0,0,Hist Update: 10th Apr 2020
13,13,2020-04-07,India,Andaman and Nicobar Islands,10,0,0,Hist Update: 10th Apr 2020
14,14,2020-04-08,India,Andaman and Nicobar Islands,10,0,0,Hist Update: 10th Apr 2020
15,15,2020-04-09,India,Andaman and Nicobar Islands,11,0,0,Hist Update: 10th Apr 2020
1,1,2020-04-03,India,Arunachal Pradesh,1,0,0,Hist Update: 10th Apr 2020
2,2,2020-04-04,India,Arunachal Pradesh,1,0,0,Hist Update: 10th Apr 2020
3,3,2020-04-05,India,Arunachal Pradesh,1,0,0,Hist Update: 10th Apr 2020
4,4,2020-04-06,India,Arunachal Pradesh,1,0,0,Hist Update: 10th Apr 2020
5,5,2020-04-07,India,Arunachal Pradesh,1,0,0,Hist Update: 10th Apr 2020
6,6,2020-04-08,India,Arunachal Pradesh,1,0,0,Hist Update: 10th Apr 2020
7,7,2020-04-09,India,Arunachal Pradesh,1,0,0,Hist Update: 10th Apr 2020
1,1,2020-04-01,India,Assam,1,0,0,Hist Update: 10th Apr 2020
2,2,2020-04-02,India,Assam,5,0,0,Hist Update: 10th Apr 2020
3,3,2020-04-03,India,Assam,16,0,0,Hist Update: 10th Apr 2020
4,4,2020-04-04,India,Assam,24,0,0,Hist Update: 10th Apr 2020
5,5,2020-04-05,India,Assam,26,0,0,Hist Update: 10th Apr 2020
6,6,2020-04-06,India,Assam,26,0,0,Hist Update: 10th Apr 2020
7,7,2020-04-07,India,Assam,26,0,0,Hist Update: 10th Apr 2020
8,8,2020-04-08,India,Assam,27,0,0,Hist Update: 10th Apr 2020
9,9,2020-04-09,India,Assam,28,0,0,Hist Update: 10th Apr 2020
1,1,2020-03-22,India,Bihar,2,0,1,Hist Update: 10th Apr 2020
2,2,2020-03-23,India,Bihar,2,0,1,Hist Update: 10th Apr 2020
3,3,2020-03-24,India,Bihar,3,0,1,Hist Update: 10th Apr 2020
4,4,2020-03-25,India,Bihar,4,0,1,Hist Update: 10th Apr 2020
5,5,2020-03-26,India,Bihar,6,0,1,Hist Update: 10th Apr 2020
6,6,2020-03-27,India,Bihar,6,0,1,Hist Update: 10th Apr 2020
7,7,2020-03-28,India,Bihar,9,0,1,Hist Update: 10th Apr 2020
8,8,2020-03-29,India,Bihar,11,0,1,Hist Update: 10th Apr 2020
9,9,2020-03-30,India,Bihar,15,0,1,Hist Update: 10th Apr 2020
10,10,2020-03-31,India,Bihar,15,0,1,Hist Update: 10th Apr 2020
11,11,2020-04-01,India,Bihar,23,0,1,Hist Update: 10th Apr 2020
12,12,2020-04-02,India,Bihar,24,0,1,Hist Update: 10th Apr 2020
13,13,2020-04-03,India,Bihar,29,0,1,Hist Update: 10th Apr 2020
14,14,2020-04-04,India,Bihar,30,0,1,Hist Update: 10th Apr 2020
15,15,2020-04-05,India,Bihar,30,0,1,Hist Update: 10th Apr 2020
16,16,2020-04-06,India,Bihar,32,0,1,Hist Update: 10th Apr 2020
17,17,2020-04-07,India,Bihar,32,0,1,Hist Update: 10th Apr 2020
18,18,2020-04-08,India,Bihar,38,0,1,Hist Update: 10th Apr 2020
19,19,2020-04-09,India,Bihar,39,0,1,Hist Update: 10th Apr 2020
1,1,2020-03-19,India,Chandigarh,1,0,0,Hist Update: 10th Apr 2020
2,2,2020-03-20,India,Chandigarh,1,0,0,Hist Update: 10th Apr 2020
3,3,2020-03-21,India,Chandigarh,1,0,0,Hist Update: 10th Apr 2020
4,4,2020-03-22,India,Chandigarh,5,0,0,Hist Update: 10th Apr 2020
5,5,2020-03-23,India,Chandigarh,6,0,0,Hist Update: 10th Apr 2020
6,6,2020-03-24,India,Chandigarh,7,0,0,Hist Update: 10th Apr 2020
7,7,2020-03-25,India,Chandigarh,7,0,0,Hist Update: 10th Apr 2020
8,8,2020-03-26,India,Chandigarh,7,0,0,Hist Update: 10th Apr 2020
9,9,2020-03-27,India,Chandigarh,7,0,0,Hist Update: 10th Apr 2020
10,10,2020-03-28,India,Chandigarh,8,0,0,Hist Update: 10th Apr 2020
11,11,2020-03-29,India,Chandigarh,8,0,0,Hist Update: 10th Apr 2020
12,12,2020-03-30,India,Chandigarh,8,0,0,Hist Update: 10th Apr 2020
13,13,2020-03-31,India,Chandigarh,13,0,0,Hist Update: 10th Apr 2020
14,14,2020-04-01,India,Chandigarh,16,0,0,Hist Update: 10th Apr 2020
15,15,2020-04-02,India,Chandigarh,16,0,0,Hist Update: 10th Apr 2020
16,16,2020-04-03,India,Chandigarh,18,0,0,Hist Update: 10th Apr 2020
17,17,2020-04-04,India,Chandigarh,18,0,0,Hist Update: 10th Apr 2020
18,18,2020-04-05,India,Chandigarh,18,0,0,Hist Update: 10th Apr 2020
19,19,2020-04-06,India,Chandigarh,18,0,0,Hist Update: 10th Apr 2020
20,20,2020-04-07,India,Chandigarh,18,7,0,Hist Update: 10th Apr 2020
21,21,2020-04-08,India,Chandigarh,18,7,0,Hist Update: 10th Apr 2020
22,22,2020-04-09,India,Chandigarh,18,7,0,Hist Update: 10th Apr 2020
1,1,2020-03-19,India,Chhattisgarh,1,0,0,Hist Update: 10th Apr 2020
2,2,2020-03-20,India,Chhattisgarh,1,0,0,Hist Update: 10th Apr 2020
3,3,2020-03-21,India,Chhattisgarh,1,0,0,Hist Update: 10th Apr 2020
4,4,2020-03-22,India,Chhattisgarh,1,0,0,Hist Update: 10th Apr 2020
5,5,2020-03-23,India,Chhattisgarh,1,0,0,Hist Update: 10th Apr 2020
6,6,2020-03-24,India,Chhattisgarh,1,0,0,Hist Update: 10th Apr 2020
7,7,2020-03-25,India,Chhattisgarh,1,0,0,Hist Update: 10th Apr 2020
8,8,2020-03-26,India,Chhattisgarh,6,0,0,Hist Update: 10th Apr 2020
9,9,2020-03-27,India,Chhattisgarh,6,0,0,Hist Update: 10th Apr 2020
10,10,2020-03-28,India,Chhattisgarh,6,0,0,Hist Update: 10th Apr 2020
11,11,2020-03-29,India,Chhattisgarh,7,0,0,Hist Update: 10th Apr 2020
12,12,2020-03-30,India,Chhattisgarh,7,0,0,Hist Update: 10th Apr 2020
13,13,2020-03-31,India,Chhattisgarh,8,0,0,Hist Update: 10th Apr 2020
14,14,2020-04-01,India,Chhattisgarh,9,2,0,Hist Update: 10th Apr 2020
15,15,2020-04-02,India,Chhattisgarh,9,2,0,Hist Update: 10th Apr 2020
16,16,2020-04-03,India,Chhattisgarh,9,3,0,Hist Update: 10th Apr 2020
17,17,2020-04-04,India,Chhattisgarh,9,3,0,Hist Update: 10th Apr 2020
18,18,2020-04-05,India,Chhattisgarh,9,3,0,Hist Update: 10th Apr 2020
19,19,2020-04-06,India,Chhattisgarh,10,8,0,Hist Update: 10th Apr 2020
